Date,Time,Detection Area,Quadrant,Center X,Center Y,Object Area,Closest Point X,Closest Point Y,Distance,Angle from Center,Angle from Closest,New Angle,
07/05/2023,18:20:19,3,RIGHT,617,189,344.5,598,188,307.7466490475567,-42.7974,134.5692,0.0,
07/05/2023,18:20:19,3,LEFT,4,269,224.0,12,270,312.03204963593083,-148.3217,-96.3124,0.0,
07/05/2023,18:20:19,3,LEFT,4,269,161.5,9,275,314.23876272668844,-148.3217,-95.6482,0.0,
07/05/2023,18:20:19,3,LEFT,10,267,195.5,19,275,304.3451987464235,-147.5647,-95.7743,0.0,
07/05/2023,18:20:19,3,RIGHT,605,190,888.0,565,188,278.29660436304283,-43.8727,142.5785,0.0,
07/05/2023,18:20:19,3,LEFT,18,277,724.5,42,282,280.58510295452254,-148.234,-95.1455,0.0,
07/05/2023,18:20:19,3,LEFT,7,277,138.0,14,280,308.60330523181375,-149.144,-95.0796,0.0,
07/05/2023,18:20:19,3,RIGHT,484,186,97.5,473,188,202.07176942858692,-59.4625,176.0995,0.0,
07/05/2023,18:20:20,2,LEFT,97,320,166.5,122,321,198.00252523642217,-147.1481,-89.8325,701.68,
07/05/2023,18:20:20,3,LEFT,6,311,115.5,14,314,306.0588178765644,-154.0218,-90.7639,0.0,
07/05/2023,18:20:20,2,LEFT,40,312,428.0,57,321,263.0019011338131,-151.5044,-89.8592,629.67,
07/05/2023,18:20:20,3,RIGHT,605,249,527.5,560,246,251.14935795259362,-37.0304,127.6262,0.0,
07/05/2023,18:20:20,2,LEFT,106,321,129.0,122,321,198.00252523642217,-146.2482,-89.8325,716.52,
07/05/2023,18:20:20,2,LEFT,41,311,334.5,57,309,263.2299375071156,-151.2602,-91.5482,630.46,
07/05/2023,18:20:20,3,RIGHT,629,253,133.5,618,251,305.88396492787916,-34.3271,114.1349,0.0,
07/05/2023,18:20:20,3,LEFT,42,305,150.5,52,309,268.2256512714621,-150.2329,-91.5294,0.0,
07/05/2023,18:20:20,3,RIGHT,619,249,246.5,600,248,289.10897599348243,-35.7185,117.8973,0.0,
07/05/2023,18:20:20,3,RIGHT,624,225,116.0,610,224,305.4766766874355,-38.1739,123.3263,0.0,
07/05/2023,18:20:20,3,RIGHT,608,207,751.5,568,210,271.3005713226568,-41.7445,136.606,0.0,
07/05/2023,18:20:20,3,RIGHT,597,189,1051.0,540,193,254.02558926218438,-44.7924,149.1026,0.0,
07/05/2023,18:20:21,3,RIGHT,621,186,603.5,600,193,307.45568786412133,-42.7252,133.0401,0.0,
